"CUSTOMER_STATE","SELLER_STATE","CUSTOMER_STATE_LAT","CUSTOMER_STATE_LNG","SELLER_STATE_LAT","SELLER_STATE_LNG","TOTAL_FREIGHT_VALUE"
MG,SP,-19.768131943331838,-44.25358623321739,-23.191158107928256,-47.05378549380357,243075.7
MS,BA,-21.033754693811588,-54.58754251592346,-12.989871851119448,-39.615591300124855,114.13
MS,CE,-21.033754693811588,-54.58754251592346,-4.628164063264693,-39.12452010467055,85.75
MS,DF,-21.033754693811588,-54.58754251592346,-15.790607098465964,-48.041233449700464,190.26
MS,GO,-21.033754693811588,-54.58754251592346,-16.544386780171276,-49.27402937998611,226.5
MS,MA,-21.033754693811588,-54.58754251592346,-3.9751512906138347,-44.82710896397979,120.51
MS,MG,-21.033754693811588,-54.58754251592346,-19.768131943331838,-44.25358623321739,2303.92
MS,MT,-21.033754693811588,-54.58754251592346,-14.24217021245117,-55.43095256054814,118.59
MS,PE,-21.033754693811588,-54.58754251592346,-8.252919762977053,-35.94553525314061,72.7
MS,PR,-21.033754693811588,-54.58754251592346,-24.51761690736683,-51.13921446386092,2123.91
MS,RJ,-21.033754693811588,-54.58754251592346,-22.62313258857956,-43.189515153563526,1781.57
MS,RS,-21.033754693811588,-54.58754251592346,-29.405371844827677,-51.99545799943851,473.84
MS,SC,-21.033754693811588,-54.58754251592346,-27.233756086210168,-49.96532630581995,1012.55
MS,SP,-21.033754693811588,-54.58754251592346,-23.191158107928256,-47.05378549380357,16116.25
MT,BA,-14.24217021245117,-55.43095256054814,-12.989871851119448,-39.615591300124855,420.83
MT,CE,-14.24217021245117,-55.43095256054814,-4.628164063264693,-39.12452010467055,210.88
MT,DF,-14.24217021245117,-55.43095256054814,-15.790607098465964,-48.041233449700464,322.85
MT,ES,-14.24217021245117,-55.43095256054814,-19.90141177780134,-40.691985842305776,391.23
MT,GO,-14.24217021245117,-55.43095256054814,-16.544386780171276,-49.27402937998611,221.26
MT,MA,-14.24217021245117,-55.43095256054814,-3.9751512906138347,-44.82710896397979,122.52
MT,MG,-14.24217021245117,-55.43095256054814,-19.768131943331838,-44.25358623321739,3233.57
MT,MS,-14.24217021245117,-55.43095256054814,-21.033754693811588,-54.58754251592346,65.49
MT,MT,-14.24217021245117,-55.43095256054814,-14.24217021245117,-55.43095256054814,137.76
MT,PB,-14.24217021245117,-55.43095256054814,-7.053690918143463,-36.18945874369153,51.54
MT,PE,-14.24217021245117,-55.43095256054814,-8.252919762977053,-35.94553525314061,30.08
MT,PR,-14.24217021245117,-55.43095256054814,-24.51761690736683,-51.13921446386092,3070.6
MT,RJ,-14.24217021245117,-55.43095256054814,-22.62313258857956,-43.189515153563526,983.76
MT,RS,-14.24217021245117,-55.43095256054814,-29.405371844827677,-51.99545799943851,2867.21
MT,SC,-14.24217021245117,-55.43095256054814,-27.233756086210168,-49.96532630581995,1547.79
MT,SP,-14.24217021245117,-55.43095256054814,-23.191158107928256,-47.05378549380357,28020.94
